Journey_Id,Workflow_Type,Total_Gt_Blocks,Line_Break,Merge,Split_Edits,Split_Merge,Size_Change,Line_Shift,Position_Shift,Alignment_Change,Region_Change,Extra_Block,Missing_Block,Block_Match_Time_Drift,VTT_Style,Spanwise_Style_Change,Punctuation_Edits,Word_Edits,Musical_Lyrics,Closed_Caption,Speaker_Transition,Content_Duration,Tier,Created_At
13824661-1c91-46a5-bfd6-39fe339b3dc9,closed_captioning_v2,746,29,1,227,91,,,,,645,91,29,251,,617,184,184,0,106,62,42.335348616666671,2,2026-08-17T19:53:49.230965
02e8564a-f4e3-4899-8999-be8f01cdca0b,closed_captioning_v2,982,70,3,190,42,,,,,953,7,8,19,,944,115,193,0,85,78,42.750346533333328,3,2026-08-17T18:33:07.806717
51e177f9-f554-4f6f-8b99-f72c7bfad5fe,closed_captioning_v2,999,144,5,193,94,,,,,962,7,17,24,,953,80,175,0,238,100,42.68291805,3,2026-08-15T11:34:46.224848
a17b525a-608d-42fe-bc0f-1ff058367e07,closed_captioning_v2,831,51,4,146,72,,,,,762,46,42,15,,754,112,126,0,122,36,43.836153466666666,2,2026-08-15T09:36:51.694247
a2ddf969-221c-4058-9428-31ff429f4cb1,closed_captioning_v2,1062,126,2,212,80,,,,,1020,6,12,31,,1008,88,203,0,253,112,42.683613199999996,3,2026-08-15T09:30:52.441552
89732110-b2f6-4f09-a189-f39de2aa6aec,closed_captioning_v2,778,46,7,208,101,,,,,730,11,26,17,,710,102,142,0,92,46,42.25193195,2,2026-08-15T08:12:39.722335
b12195ef-b06f-497e-b0c0-5f490349286c,closed_captioning_v2,1047,108,10,295,131,,,,,1000,4,12,24,,988,148,170,0,225,146,43.784713200000006,3,2026-08-15T06:22:19.832816
849c2bea-c7a2-41a3-b96d-3591a0f47687,closed_captioning_v2,538,83,14,119,77,,,,,511,16,10,9,,508,90,103,0,85,72,22.1346125,2,2026-08-14T23:51:26.797249
6e7cf189-2e1c-404d-b587-713183aad809,closed_captioning_v2,1649,219,12,378,174,,,,,1615,18,21,25,,1599,253,225,0,177,104,84.583109716666669,2,2026-08-14T18:25:15.819511
f0184c25-506c-49ed-9a08-00e7ac40089e,closed_captioning_v2,1019,119,6,196,68,,,,,1000,2,9,32,,992,134,208,0,123,79,42.750346533333328,3,2026-08-14T03:33:16.340909
71e74485-b97c-4b6c-921a-a3d74e608696,closed_captioning_v2,1592,273,10,374,139,,,,,1496,116,37,37,,1477,269,240,0,406,113,84.583387783333336,3,2026-08-13T23:18:26.399621
646e0c68-0411-410c-bd8c-a48ba7144a50,closed_captioning_v2,1084,81,4,178,56,,,,,1040,17,21,15,,1025,108,177,0,177,95,42.716979866666662,3,2026-08-13T21:39:49.082171
30e63752-9a0a-48d6-b913-bd11b0a96680,closed_captioning_v2,1040,126,20,206,122,,,,,1014,6,15,28,,994,151,125,0,233,158,44.25142945,3,2026-08-13T05:08:44.806418
04552fb5-1459-47d3-92a9-e2f7144cfcad,closed_captioning_v2,568,78,1,129,56,,,,,527,324,19,20,,502,71,105,0,42,69,43.419070133333335,3,2026-08-13T03:09:02.867109
115868d4-cd0a-4764-b3cb-e6a1d76b3678,closed_captioning_v2,495,16,5,110,83,,,,,488,9,4,9,,485,32,68,0,6,6,22.501367783333333,2,2026-08-12T23:49:24.676614
d73b03df-2bd0-45d2-a95c-0c7606bf9bdb,closed_captioning_v2,775,91,4,240,43,,,,,723,72,20,7,,673,243,171,0,139,146,42.25,3,2026-08-12T22:47:41.123337
d105d4f1-6406-48d1-aecc-da7a651f64e0,closed_captioning_v2,1150,113,31,198,103,,,,,1127,12,6,19,,1117,153,175,0,259,185,43.79375,3,2026-08-12T18:58:06.275495
1a86683d-bdc6-4089-b770-1b22f2b4ed91,closed_captioning_v2,789,56,9,190,87,,,,,730,125,26,22,,721,101,154,1,67,51,42.2512368,3,2026-08-12T09:17:25.247219
453cf111-a883-4fb4-96bc-23df1d695718,closed_captioning_v2,1095,184,35,265,191,,,,,1040,22,14,42,,1028,165,206,0,198,163,43.668625,3,2026-08-12T02:08:02.698832
79baa034-5917-4542-b231-2b9e8fa9dec9,closed_captioning_v2,414,39,2,100,42,,,,,401,2,13,14,,396,66,85,0,3,3,21.600745833333335,1,2026-08-12T01:39:48.176672
1ebc9f67-fe8f-40ee-9f8f-d27fcf66ef49,closed_captioning_v2,485,80,7,120,65,,,,,469,3,3,15,,461,52,64,0,105,40,22.100967783333331,2,2026-08-12T00:09:30.621089
0ab8570c-a1f6-4d20-8666-ea851b0efc2e,closed_captioning_v2,1185,157,12,280,104,,,,,1144,21,24,19,,1132,145,303,0,203,150,43.000596533333336,3,2026-08-11T10:23:26.160651
ce1f0698-7c4f-424d-9217-9191a877db07,emt_dialog,33,2,0,18,7,,,,,33,0,0,0,,33,4,5,0,,0,1.6383033333333332,1,2026-08-11T05:29:36.209368
cce5f49b-89c5-474c-b9a0-f98964847fee,emt_dialog,41,0,0,23,15,,,,,41,1,0,0,,41,11,5,0,,1,2.5058366666666667,1,2026-08-11T05:28:51.572676
4e9f724a-e6e2-41da-91cb-850472c751c4,emt_dialog,25,4,0,11,8,,,,,25,0,0,1,,25,1,4,0,,0,1.60438055,1,2026-08-11T05:28:14.959904
6582eaef-4ce2-4590-aab7-86ccd09e8676,emt_dialog,55,4,0,31,17,,,,,54,1,1,0,,54,19,20,0,,3,2.54976945,1,2026-08-11T05:27:25.929929
2a6b26d0-4b70-4051-9f4b-d4ba2ee96b4e,emt_dialog,38,4,0,17,11,,,,,38,0,0,0,,38,7,7,0,,6,1.7256127833333332,1,2026-08-11T05:26:43.501243
835b9881-ee7a-4529-99e3-fa6957e33929,emt_dialog,50,1,0,27,12,,,,,50,1,0,0,,50,11,11,0,,2,2.7549744499999997,1,2026-08-11T05:26:00.583972
894f6447-e06e-4792-a505-17f0f146d2e1,closed_captioning_v2,540,41,1,107,87,,,,,526,4,2,2,,525,39,43,0,31,17,22.500811666666667,2,2026-08-11T04:57:22.105262
8f6409c8-2dd3-4b49-83a6-16419298df65,closed_captioning_v2,1050,81,15,188,60,,,,,995,29,25,18,,984,131,178,0,298,133,43.83379,3,2026-08-11T01:11:26.745680
c556dce4-d5b3-4b22-8947-42862727b707,closed_captioning_v2,46,3,0,7,5,,,,,45,351,0,0,,44,6,15,0,5,2,22.75050555,1,2026-08-10T21:44:45.053085
875af6c3-ba93-4b74-96dc-5ea4353d2fd8,closed_captioning_v2,402,40,1,57,29,,,,,348,23,6,7,,347,18,52,0,30,24,21.366345000000003,2,2026-08-10T20:42:00.474061
b3e42918-ae9f-4c70-bd8c-8e7409e3942a,closed_captioning_v2,929,176,9,270,134,,,,,901,22,11,30,,883,118,172,0,111,95,42.201186799999995,3,2026-08-10T17:04:12.482330
dc79cecc-b732-4613-b482-672fae9323a1,closed_captioning_v2,1028,159,9,336,169,,,,,945,30,35,17,,927,188,178,0,121,116,42.751597783333331,3,2026-08-10T16:49:40.331209
b80e8fdd-d5b3-4319-88f2-792fbab34c3b,closed_captioning_v2,884,106,5,269,118,,,,,734,89,63,14,,699,253,248,0,144,137,44.253236799999996,3,2026-08-10T16:43:19.662386
4d43bb16-d2fb-4fc1-aaa2-ea3cb638f866,closed_captioning_v2,633,92,2,112,87,,,,,594,146,3,9,,591,44,121,0,63,2,42.2512368,1,2026-08-08T06:43:41.595725
27bc067a-2e13-430b-873c-af5608479aca,closed_captioning_v2,1031,167,11,264,172,,,,,1011,17,5,31,,1006,109,169,0,229,156,43.784713200000006,2,2026-08-08T03:30:04.716841
739fc2b5-bcd9-499c-a44d-33e8b9746d65,closed_captioning_v2,653,32,7,143,80,,,,,598,80,29,14,,584,81,112,0,55,36,42.216,3,2026-08-07T23:53:13.295139
06d94a5c-88a0-4953-9457-02ce3d473b40,closed_captioning_v2,489,62,3,98,44,,,,,463,1,7,9,,457,56,76,0,104,49,22.100967783333331,2,2026-08-07T20:35:40.808765
6a6f5047-d7a2-445b-b8d6-9d82024f2554,closed_captioning_v2,528,89,6,91,29,,,,,513,9,8,20,,506,64,90,0,221,104,22.117651116666664,2,2026-08-07T14:03:24.553306
3a49e851-6b05-473e-8b44-3ec1f8e62d7c,closed_captioning_v2,1362,185,8,386,159,,,,,1190,291,55,44,,1141,217,292,1,241,184,85.750943049999989,3,2026-08-07T14:03:24.368742
7841a309-528b-48ed-8a98-7eda46c050fc,closed_captioning_v2,588,58,2,116,31,,,,,448,89,27,17,,425,100,99,0,80,31,43.650829449999996,3,2026-08-07T14:03:23.642114
78caf617-1e25-4583-bdda-7114665b7d5d,closed_captioning_v2,775,189,7,55,26,,,,,754,19,5,25,,753,85,94,0,57,17,43.419070133333335,2,2026-08-07T14:03:23.102721
b6d6b0fb-63e3-4249-bbf6-9a59d0128464,closed_captioning_v2,785,118,9,182,138,,,,,765,16,4,10,,762,71,67,0,35,14,43.419070133333335,2,2026-08-07T14:03:21.619430
46e05ba6-4fb8-4742-9d21-4512f2948e92,closed_captioning_v2,522,68,4,83,57,,,,,516,1,4,9,,512,44,50,0,100,47,23.017438883333334,2,2026-08-07T14:03:21.184723
adcc4bf2-4a3b-46a9-b3d8-531a00861472,closed_captioning_v2,1544,210,11,409,151,,,,,1427,69,62,35,,1404,208,223,0,329,116,84.583387783333336,3,2026-08-07T07:27:41.391281
3a680223-fa2e-4639-a8c9-8005792ac512,closed_captioning_v2,601,29,3,125,72,,,,,548,46,23,13,,541,93,95,0,11,22,42.18333333333333,3,2026-08-07T05:14:02.280215
cece1169-1840-4e12-9712-e015748821e4,closed_captioning_v2,1005,95,4,168,43,,,,,966,15,20,36,,957,102,176,0,238,98,42.683613199999996,3,2026-08-06T23:38:09.887117
020d4ff7-1f1c-408f-9597-de97a6caf317,closed_captioning_v2,1177,230,19,245,140,,,,,1142,11,9,30,,1130,111,195,0,285,205,43.79375,2,2026-08-06T20:46:20.957907
d9addd19-3eab-42fb-8863-d11961d30dc7,closed_captioning_v2,614,55,5,139,30,,,,,471,83,94,19,,448,131,182,0,111,77,42.217731116666663,3,2026-08-06T17:21:45.637854
bfe1e466-0128-4833-80f6-15e3a37f2094,closed_captioning_v2,781,109,4,189,79,,,,,756,2,12,29,,754,96,94,0,166,31,42.25,3,2026-08-06T17:21:45.285763
e66d37a7-0c20-476c-87bb-0444f90d17d0,closed_captioning_v2,560,37,1,141,23,,,,,391,104,88,19,,370,80,129,0,87,53,42.23497055,2,2026-08-06T17:21:45.065235
26bb5261-6b40-4489-8201-350a07d247c7,closed_captioning_v2,627,31,5,129,66,,,,,602,29,8,13,,599,49,75,0,36,8,42.184503466666669,3,2026-08-06T17:21:44.853414
cb1de94e-f55a-4845-9e7f-71279ee7835e,closed_captioning_v2,808,102,9,182,50,,,,,746,45,30,24,,732,142,132,0,182,71,42.25,3,2026-08-06T17:21:44.655136
d903efcd-9989-4381-b26d-9a6f02f8135a,closed_captioning_v2,682,60,11,113,74,,,,,652,68,4,7,,644,119,84,0,45,10,42.767168883333333,2,2026-08-06T15:41:29.110076
47749856-8b0a-4713-bfb3-83a677318262,closed_captioning_v2,962,126,19,128,88,,,,,946,9,5,26,,945,50,77,0,212,72,43.750373333333329,2,2026-08-06T15:14:24.888419
752a8b76-ce44-42fd-83a5-fa4b0d5e115e,closed_captioning_v2,977,88,15,220,81,,,,,902,26,27,24,,890,172,202,0,116,140,42.267920133333334,3,2026-08-06T04:10:29.876949
56eadb1e-98dd-40c7-8b18-946987c347ac,closed_captioning_v2,1100,143,8,200,87,,,,,1025,20,36,43,,1011,99,154,0,172,94,43.668625,2,2026-08-06T01:59:48.455252
b095695e-7830-47d8-aa3d-707f2382bd67,closed_captioning_v2,472,75,0,75,22,,,,,462,6,2,13,,459,54,64,0,71,44,22.605916666666666,2,2026-08-06T01:44:51.032467
6441425e-fca4-41d9-89ac-23751ec379c5,closed_captioning_v2,441,26,2,81,52,,,,,428,5,5,1,,427,55,76,0,3,1,22.500255550000002,1,2026-08-05T21:31:38.574319
c38e6c61-5143-4290-8d16-ee8d0642cddf,closed_captioning_v2,130,10,0,25,18,,,,,101,2,6,3,,101,2,5,0,0,0,22.105416666666667,2,2026-08-05T20:18:44.369064
7b2245a6-a4eb-4961-9fca-88de849e8762,closed_captioning_v2,526,87,7,140,77,,,,,505,6,6,17,,495,68,100,0,145,87,22.100967783333331,2,2026-08-05T19:14:24.230067
f34679b4-bd35-4264-8991-716c489745f1,closed_captioning_v2,520,82,4,149,72,,,,,489,16,16,5,,479,79,100,0,124,71,22.100967783333331,2,2026-08-05T19:14:23.696807
13d5cf06-f8f0-4665-aec7-8365b026f06e,closed_captioning_v2,521,72,2,158,78,,,,,501,3,4,23,,469,83,67,0,98,73,22.668479166666668,2,2026-08-05T19:14:21.104143
b2ffb01e-b489-40cf-8814-dda0eb72fb3f,closed_captioning_v2,1064,163,3,223,104,,,,,1043,12,19,15,,1030,113,168,0,145,119,42.750346533333328,3,2026-08-05T18:27:35.548309
5d385e80-1420-465a-b6d9-303db77ef2cc,emt_dialog,35,4,0,18,10,,,,,35,1,0,0,,35,3,4,0,,4,1.74396445,1,2026-08-05T05:01:44.178578
f95da605-cf9e-4b16-b547-75b47b9d4214,emt_dialog,50,5,0,25,15,,,,,49,0,1,0,,49,4,9,0,,3,2.6498694499999997,1,2026-08-05T05:00:57.845517
69601c1c-a2d5-4105-b0c1-060344776e79,emt_dialog,30,2,0,19,6,,,,,30,0,0,0,,30,4,6,0,,3,1.67389445,1,2026-08-05T05:00:16.874451
e292bb5a-d996-4b3b-936c-897afcfd9bde,emt_dialog,49,2,0,19,17,,,,,49,0,0,0,,49,9,10,0,,0,2.72494445,1,2026-08-05T04:58:27.025299
09e5b8f9-6489-4eb2-82ab-c7e10d00885a,emt_dialog,27,2,0,16,9,,,,,27,0,0,0,,27,3,6,0,,0,1.6472011166666667,1,2026-08-05T04:57:41.506175
16e68b27-b0a4-4b73-be80-1eed7ca26eff,emt_dialog,44,6,0,20,14,,,,,44,0,0,0,,44,6,7,0,,0,2.5731261166666664,1,2026-08-05T04:54:48.946276
0735ccd3-4aa2-4d4e-8c16-35adaabdb238,closed_captioning_v2,574,54,5,92,39,,,,,565,5,3,12,,564,45,75,0,79,17,22.500811666666667,3,2026-08-04T20:45:17.440436
83f4caae-1c22-44ac-98fe-457b813e50d8,closed_captioning_v2,991,151,6,311,156,,,,,920,38,49,18,,900,220,300,0,155,177,42.335348616666671,3,2026-07-31T06:19:27.652779
2e08571a-a0df-411d-a9ed-602a71146a99,closed_captioning_v2,1128,201,8,351,173,,,,,1049,25,42,14,,1038,262,344,0,159,195,42.267920133333334,3,2026-07-29T05:51:14.508757
2bbf4c1e-b295-494a-9645-7931c3634fe2,emt_dialog,1381,174,22,460,146,,,,,1357,117,24,45,,1302,303,382,0,,280,121.69212445,2,2026-07-29T04:22:30.509396
c5a39703-a87e-488d-ab21-62787609853c,emt_dialog,661,59,5,303,112,,,,,596,405,65,21,,579,230,285,0,,71,101.45413055,3,2026-07-29T03:53:03.156661
22f40189-aeb3-4fe6-a0fb-13c8fff0f5dc,closed_captioning_v2,707,131,3,192,155,,,,,698,59,7,7,,694,76,172,0,126,29,41.851253883333335,1,2026-07-27T19:57:38.835000
6f0630f2-7852-4204-92ea-3bf06eb6a1e1,closed_captioning,148,3,0,20,12,0,13,1,1,,428,26,7,43,,3,15,0,2,0,43.352335611979164,2,2026-07-27T19:48:45.731714
5a156459-3a15-44d2-b936-f411d2e9f0fd,closed_captioning_v2,170,14,1,27,23,,,,,164,143,0,2,,164,14,20,0,0,2,21.017524299999998,1,2026-07-27T19:02:27.282059
9919ebf0-8ee4-4b09-8262-f9f9068b18e3,closed_captioning_v2,786,56,0,222,109,,,,,733,148,28,18,,726,171,163,0,104,43,42.334653466666666,3,2026-07-27T18:32:33.571704
df14942c-c94d-4d3c-9601-bf3b53a8527d,closed_captioning,963,50,3,174,37,0,23,0,0,,28,32,25,0,,86,131,0,154,68,42.78440755208333,3,2026-07-27T18:11:32.694966
75072b75-8e5c-450d-858d-8f38041fd1d0,closed_captioning,1021,68,3,213,54,0,20,0,0,,3,20,24,0,,121,239,0,198,99,42.68430989583333,3,2026-07-25T17:42:06.044953
f93df402-fafd-40a4-8791-f52524a09480,closed_captioning,995,129,4,285,135,0,21,0,0,,35,42,17,0,,184,170,0,152,102,42.251932779947914,3,2026-07-25T15:40:34.491369
6535774f-def7-47e0-b845-cd786e0f777d,closed_captioning,607,26,2,75,23,0,40,2,0,,27,17,27,184,,54,71,0,53,21,41.484000651041669,3,2026-07-25T00:08:09.633106
17946e8b-2fba-460d-b8c6-ffb6e5e5993a,closed_captioning_v2,974,171,13,219,107,,,,,911,46,30,43,,906,165,268,0,106,117,42.335348616666671,3,2026-07-24T07:40:38.454898
a75831b1-927a-458f-aa61-bd2bf7609d9f,emt_dialog,590,61,1,263,107,,,,,571,15,19,9,,566,125,163,0,,74,45.000511116666665,2,2026-07-24T04:28:30.335599
c3bb98f5-7eac-4960-bbfb-dc879fd177c6,closed_captioning,961,66,10,187,92,0,29,0,0,,11,15,26,0,,123,139,0,135,109,42.781628417968747,3,2026-07-23T18:38:25.429202
560d78e0-69b3-4c74-80fb-666e8f3750fc,closed_captioning,976,123,8,191,71,0,106,0,0,,24,15,50,0,,109,138,0,141,98,42.7809326171875,3,2026-07-23T18:38:07.727052
36fbe471-8822-4010-9615-eb0a2bacf0c2,closed_captioning,647,75,3,201,96,0,54,0,0,,320,37,28,0,,132,161,0,80,95,43.419071451822916,2,2026-07-23T14:00:54.685292
8e9e394b-9f0c-428f-9c52-f8854eae44fc,closed_captioning,958,40,7,251,145,0,32,0,0,,15,25,15,0,,168,164,0,179,138,44.251985677083333,2,2026-07-23T03:51:08.257638
929e8f9d-b113-4a24-a857-cdee63b667ad,emt_dialog,1727,204,19,742,276,,,,,1614,127,113,32,,1558,554,790,0,,451,103.31821333333333,3,2026-07-23T03:25:44.200660
2f7eb2a0-327c-4d0c-94ee-9b4745cdb910,closed_captioning,551,76,13,112,50,0,15,0,0,,1,4,6,0,,91,96,0,174,115,22.1176513671875,3,2026-07-22T08:37:17.435892
ac6d203e-14fa-4b20-8fd6-3fe404a54977,closed_captioning,517,73,9,138,56,0,22,0,0,,6,9,10,0,,86,73,0,76,43,22.605916341145832,2,2026-07-22T06:18:38.947183
c98bb03f-810c-43f6-bca5-22bd3c1017ee,closed_captioning_v2,892,150,8,216,111,,,,,837,3,25,29,,825,118,134,0,89,66,42.32005555,1,2026-07-22T04:50:15.428745
06775a02-c28e-4e3c-bc9e-d360e9d7da47,closed_captioning_v2,528,28,7,112,43,,,,,516,0,0,4,,515,67,95,0,44,35,22.500811666666667,3,2026-07-21T18:56:38.866319
e88e1d42-f18b-4c4b-9ff5-252b5a41e9bb,closed_captioning_v2,871,108,3,220,82,,,,,846,10,8,19,,836,103,85,0,78,46,42.32005555,2,2026-07-21T17:13:20.529771
cf361161-2260-4b45-9e8e-d748195dd517,closed_captioning_v2,1045,192,3,231,140,,,,,998,23,16,18,,989,216,247,0,65,120,42.267920133333334,3,2026-07-21T16:22:59.229911
bbd11416-e145-47d6-be09-157aaee490f4,closed_captioning,776,61,7,154,79,0,22,0,0,,26,16,26,174,,82,131,0,115,57,42.192150878906247,3,2026-07-21T03:42:30.890769
fe620c1e-09db-455b-82de-03ac6c0b3cd5,closed_captioning,373,84,4,46,14,0,13,0,0,,0,1,11,0,,42,61,0,0,0,17.459108479817708,1,2026-07-20T20:12:54.274487
eabcb2b5-f0eb-4601-90ed-dd8cff3c5cbc,closed_captioning,934,123,10,252,175,0,30,0,0,,47,28,20,0,,173,178,0,119,122,42.251932779947914,3,2026-07-20T18:23:25.323048
a5ee9759-b086-4c6b-9b1c-0a07f6433d22,closed_captioning,838,127,11,246,132,0,56,0,0,,85,30,17,0,,235,229,0,108,132,42.251932779947914,3,2026-07-20T17:23:29.390274
6885c0cc-8e42-45bc-bc02-0bf9c178eea7,closed_captioning,516,11,3,113,47,0,9,0,0,,3,9,17,0,,51,54,0,110,66,22.100968424479166,2,2026-07-19T12:23:06.459998
7dc4486a-6f91-407e-86ab-d80b5dfd630c,closed_captioning,926,104,4,249,109,0,24,0,0,,110,35,18,27,,126,174,0,144,80,42.8355712890625,3,2026-07-18T21:04:26.779847
66edcf9f-4982-416c-9ba1-bbb6c63f9d28,closed_captioning,632,31,5,154,92,0,62,1,1,,142,32,10,142,,67,133,0,76,55,42.18519694010417,3,2026-07-18T18:56:16.942896
4881b5a8-9aa7-4dc5-a581-89ad8c06faab,closed_captioning,536,53,4,158,106,0,32,0,0,,1,5,5,0,,71,61,0,114,70,22.66847941080729,2,2026-07-18T17:18:42.748654
635288b4-8a35-43d3-bc10-598d08157d3f,closed_captioning,1049,55,3,228,60,0,15,0,0,,7,34,28,0,,118,228,0,271,109,42.67666015625,3,2026-07-17T22:47:38.950769
0cd5a662-ca97-461c-b4cc-cd7eefefd179,closed_captioning,608,31,2,147,115,0,32,1,0,,0,1,15,503,,38,84,0,12,0,42.916666666666664,2,2026-07-17T18:31:31.435426
1a7b36ec-3452-4368-a207-b7f9e388a6ef,closed_captioning,502,27,3,89,30,0,21,0,0,,137,7,22,0,,25,65,0,26,2,42.184505208333334,2,2026-07-17T15:49:32.605085
b6bbb9e1-6290-41c9-9456-c18ba6e1acf5,emt_dialog,660,24,5,201,63,,,,,362,701,298,12,,329,167,208,0,,65,145.97749833333333,2,2026-07-17T13:15:25.426111
7dfaac35-f8d5-49ad-826b-05a99f73d3d8,closed_captioning,645,96,2,147,94,0,45,0,0,,24,10,22,0,,59,147,0,70,11,42.250541178385419,1,2026-07-17T03:53:32.669610
6a0e2b22-86f8-4676-9f32-747c3815f457,closed_captioning,1040,69,5,205,57,0,64,0,0,,12,19,32,0,,91,194,0,154,102,42.71697998046875,3,2026-07-17T02:24:17.581018
95edac9b-100d-4cb8-81e6-bd978871aeb5,closed_captioning,908,87,2,290,200,0,25,0,0,,90,23,11,17,,96,135,0,95,61,43.33634847005208,2,2026-07-16T21:06:42.800949
e375d835-843d-4b99-824e-a37832b24368,closed_captioning,1096,58,4,206,71,0,54,0,0,,32,22,21,0,,112,187,0,186,89,42.751599121093747,3,2026-07-16T15:32:13.915091
22fd6780-5626-43ca-8357-f661e65802b6,closed_captioning,731,68,3,265,131,0,57,0,0,,254,32,18,0,,166,175,0,80,127,43.419071451822916,3,2026-07-16T04:07:45.254294
ae059a0c-2323-4578-a8a0-bb23fdd6437b,emt_dialog,1278,143,9,547,244,,,,,1208,49,70,34,,1198,275,315,0,,65,102.42732445,2,2026-07-16T03:30:01.933125
4b2da3bb-d9ee-4bb3-afa8-1ce828c6be0c,closed_captioning,849,55,0,153,79,0,21,1,1,,29,15,30,20,,110,101,0,66,40,43.352335611979164,2,2026-07-15T20:03:54.751558
e83ec024-e216-44c1-a551-52cdf9e604b1,closed_captioning,675,62,0,228,90,0,110,0,0,,221,44,20,0,,159,213,0,133,127,42.32631022135417,3,2026-07-15T18:55:55.749125
b3544d75-f357-4495-9a41-6d1eaa700c85,closed_captioning,537,66,2,130,57,0,20,0,0,,9,5,17,0,,71,85,0,70,54,22.605916341145832,2,2026-07-15T05:53:21.935823
5774fc0a-6735-4764-a458-85e428a08482,closed_captioning,1135,94,34,196,106,0,19,19,16,,8,7,38,0,,134,193,0,241,181,43.794445800781247,2,2026-07-15T00:34:25.488354
ada9f5a9-d135-4041-800b-802a5c2bf73b,closed_captioning,161,22,1,58,34,0,7,0,0,,174,1,4,0,,17,20,0,1,1,21.017525227864585,1,2026-07-14T22:40:48.188334
7e351d5f-1d39-4551-9270-c777c3cd4aa5,closed_captioning,1078,93,6,260,81,0,28,0,0,,16,30,33,0,,170,248,0,168,87,42.751599121093747,3,2026-07-14T14:38:01.218937
8a4ef969-7a50-4ee2-9995-37257772322f,emt_dialog,1000,113,17,370,92,,,,,957,156,43,41,,928,242,322,0,,181,108.02402666666667,2,2026-07-14T05:13:12.393239
fec65254-829c-41bc-adfc-2ed93d698940,closed_captioning,494,74,3,126,99,0,30,0,0,,120,2,16,0,,35,81,0,33,1,42.25123697916667,1,2026-07-10T19:10:46.663783
76902ea1-fd97-4df8-9fbc-791cff121569,emt_dialog,846,109,15,243,55,,,,,816,37,30,30,,772,203,194,0,,140,89.360382216666665,1,2026-07-09T06:26:02.947537
bcaf033b-761a-429f-90ef-3e8c7e5cde95,closed_captioning,1631,192,15,392,147,0,52,0,0,,150,49,60,104,,160,271,0,465,131,84.582828776041666,3,2026-07-08T17:59:26.493757
c3029237-92e7-4163-b5ce-d1786f94a5c0,closed_captioning,847,42,0,186,64,0,29,0,0,,59,35,24,0,,103,147,0,102,76,42.25123697916667,3,2026-07-08T17:00:30.882316
8142f2b6-111c-428a-a40b-63ad9046393c,emt_dialog,1705,307,38,388,210,,,,,1632,34,73,43,,1605,232,296,0,,210,120.45923333333333,2,2026-07-08T04:57:31.674451
0f6a9c21-155d-43b6-bb4f-22af13e5761e,emt_dialog,1210,110,8,447,123,,,,,953,81,257,32,,876,356,410,0,,308,84.9165,2,2026-07-08T04:25:05.795171
d1615578-b3aa-406a-a183-630f237fffe1,closed_captioning,545,86,5,159,70,0,31,0,0,,0,2,5,25,,73,80,0,104,61,22.1176513671875,2,2026-07-07T12:17:35.129478
